2022-11-07 12:14:00 startup archives unpack
2022-11-07 12:14:01 upgrade avahi-autoipd:amd64 0.7-3.1ubuntu1.2 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 status half-configured avahi-autoipd:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:01 status half-installed avahi-autoipd:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:01 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:01 status half-installed avahi-autoipd:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 startup packages configure
2022-11-07 12:14:01 configure avahi-autoipd:amd64 0.7-3.1ubuntu1.3 <none>
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 status unpacked avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:01 status half-configured avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:02 status installed avahi-autoipd:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:02 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:14:02 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:03 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:06 startup archives unpack
2022-11-07 12:14:07 upgrade avahi-daemon:amd64 0.7-3.1ubuntu1.2 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status half-configured avahi-daemon:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:07 status half-installed avahi-daemon:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:07 status triggers-pending dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:14:07 status triggers-pending systemd:amd64 237-3ubuntu10.45
2022-11-07 12:14:07 status triggers-pending ureadahead:amd64 0.100.0-21
2022-11-07 12:14:07 status triggers-pending dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:14:07 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:07 status half-installed avahi-daemon:amd64 0.7-3.1ubuntu1.2
